ymd,sns,game,youtube
2023/12/10,222,160,159
2023/12/11,119,52,311
2023/12/12,60,0,391
2023/12/13,177,119,138
2023/12/14,179,8,413
2023/12/15,138,8,182
2023/12/16,74,56,429
2023/12/17,138,67,560
2023/12/18,31,0,201
2023/12/19,73,24,435
2023/12/20,59,0,524
2023/12/21,42,0,460
2023/12/22,58,0,327
2023/12/23,56,22,381
2023/12/24,90,0,247
2023/12/25,114,0,451
2023/12/26,146,25,254
2023/12/27,120,6,365
2023/12/28,82,0,275
2023/12/29,115,3,237
2023/12/30,241,170,186
2023/12/31,97,72,146
2024/01/01,214,25,268
2024/01/02,164,221,292
2024/01/03,96,91,111
2024/01/04,132,0,321
2024/01/05,167,27,183
2024/01/06,365,0,208
2024/01/07,210,0,736
2024/01/08,273,0,415
2024/01/09,131,9,248
2024/01/10,95,0,361
2024/01/11,128,0,208
2024/01/12,117,32,345
2024/01/13,109,21,299
